Ticker Symbol,Company Legal Name,Business Description
SCON,Superconductor Technologies Inc,Superconductor Technologies Inc. develops and commercializes high temperature superconductor materials and related technologies in the United States.
ETH,Ethan Allen Interiors Inc,"Ethan Allen Interiors Inc. operates as an interior design company, and manufacturer and retailer of home furnishings in North America, Europe, Asia, and the Middle East. The company operates through two segments, Wholesale and Retail."
AMED,Amedisys Inc,"Amedisys, Inc., together with its subsidiaries, provides healthcare services in the United States. It operates through three segments: Home Health, Hospice, and Personal Care."
USNA,USANA Health Sciences Inc,"USANA Health Sciences, Inc. develops, manufactures, and sells science-based nutritional and personal care products primarily to reduce the risk of chronic degenerative disease."
USAT,USA Technologies Inc,"USA Technologies, Inc. provides wireless networking, cashless transactions, asset monitoring, and other value-added services in the United States and internationally."
DPW,DPW Holdings Inc,"DPW Holdings, Inc. designs, develops, manufactures, and sells power system solutions for the medical, military, telecom, and industrial markets in North America and Europe."
ATR,AptarGroup Inc.,"AptarGroup, Inc. provides a range of packaging, dispensing, and sealing solutions, primarily for the beauty, personal care, home care, prescription drug, consumer health care, injectable, and food and beverage markets."
AVID,Avid Technology Inc.,"Avid Technology, Inc. develops, markets, sells, and supports software and hardware for digital media content production, management, and distribution worldwide."
INTU,Intuit Inc.,"Intuit Inc. provides financial management and compliance products and services for small businesses, consumers, self-employed, and accounting professionals in the United States and internationally."
DEST,Destination Maternity Corp,Destination Maternity Corporation designs and retails maternity apparel.
RPRX,Repros Therapeutics Inc,"Repros Therapeutics Inc., a biopharmaceutical company, focuses on the development of various drugs to treat hormonal and reproductive system disorders for male and female in the United States."
ALG,Alamo Group Inc.,"Alamo Group Inc. designs, manufactures, and sells agricultural equipment and infrastructure maintenance equipment for governmental and industrial use worldwide. It operates through three segments: Agricultural, Industrial, and European."
CHS,Chico's FAS Inc.,"Chico's FAS, Inc. operates as an omni-channel specialty retailer of women's private branded, casual-to-dressy clothing, intimates, and complementary accessories. The company's portfolio of brands consists of the Chico's, White House Black Marke"
SANM,Sanmina Corp,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, logistics, and after-market services worldwide."
ORLY,O'Reilly Automotive Inc,"O'Reilly Automotive, Inc., together with its subsidiaries, engages in the retail of automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States."
JBL,Jabil Inc,"Jabil Inc. provides electronic manufacturing services and solutions worldwide. The company operates through two segments, Electronics Manufacturing Services and Diversified Manufacturing Services. It offers electronics design, production, and p"
ANIK,Anika Therapeutics Inc,"Anika Therapeutics, Inc., together with its subsidiaries, provides orthopedic medicines for patients with degenerative orthopedic diseases and traumatic conditions in the United States and internationally."
SMED,Sharps Compliance Corp,"Sharps Compliance Corp. provides medical, pharmaceutical, and hazardous waste management services in the United States."
ALL,Allstate Corp (The),"The Allstate Corporation, together with its subsidiaries, engages in property-liability insurance and life insurance business in the United States and Canada."
MNKD,MannKind Corp,"MannKind Corporation, a biopharmaceutical company, focuses on the discovery, development, and commercialization of therapeutic products for diabetes diseases in the United States."
TWI,Titan International Inc,"Titan International, Inc., together with its subsidiaries, manufactures and sells wheels, tires, wheel and tire assemblies, and undercarriage systems and components for off-highway vehicles in the United States and internationally."
ALXN,Alexion Pharmaceuticals Inc,"Alexion Pharmaceuticals, Inc., a biopharmaceutical company, develops and commercializes life-transforming therapeutic products."
MYGN,Myriad Genetics Inc,"Myriad Genetics, Inc., a molecular diagnostic company, focuses on developing and marketing novel predictive medicine, personalized medicine, and prognostic medicine tests worldwide."
CPRT,Copart Inc,"Copart, Inc. provides online auctions and vehicle remarketing services."
PERY,Perry Ellis International Inc,"Perry Ellis International, Inc. designs, sources, markets, and licenses apparel products and accessories. The company operates through Men's Sportswear and Swim, Women's Sportswear, Direct-to-Consumer, and Licensing segments."
PZZA,Papa John's International Inc,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants under the Papa John's trademark in the United States and internationally."
LBY,Libbey Inc.,"Libbey Inc. designs, produces, and sells tableware and other products worldwide."
BBSI,Barrett Business Services Inc,"Barrett Business Services, Inc. provides business management solutions for small and medium-sized companies in the United States."
THRM,Gentherm Inc,"Gentherm Incorporated designs, develops, and manufactures thermal management technologies in North America, Europe, and Asia. The company operates through Automotive and Industrial segments."
INOD,Innodata Inc,"Innodata Inc., a digital services and solutions company, provides technology solutions and services worldwide. The company operates through three segments: Digital Data Solutions (DDS), Innodata Advanced Data Solutions (IADS), and Media Intelli"
SGY,Stone Energy Corp,"Stone Energy Corporation, an independent oil and natural gas company, engages in the acquisition, exploration, exploitation, development, and operation of oil and gas properties in the Gulf of Mexico."
ANAT,American National Insurance Company,"American National Insurance Company, together with its subsidiaries, provides various insurance products and services in the United States, the District of Columbia, and Puerto Rico."
SHLO,Shiloh Industries Inc,"Shiloh Industries, Inc., together with its subsidiaries, provides lightweighting, noise, and vibration solutions to automotive, commercial vehicle, and other industrial markets worldwide."
NVR,NVR Inc.,"NVR, Inc. operates as a homebuilder in the United States. The company operates through four segments: Mid Atlantic, North East, Mid East, and South East."
KTEC,Key Technology Inc,"Key Technology, Inc., together with its subsidiaries, designs, manufactures, sells, and services process automation systems integrating electro-optical inspection, sorting, and process systems in the United States and internationally."
QCRH,QCR Holdings Inc,"QCR Holdings, Inc., a multi-bank holding company, provides commercial and consumer banking, and trust and asset management services. The company operates through Commercial Banking and Wealth Management segments. It accepts deposits, and invest"
BYD,Boyd Gaming Corp,"Boyd Gaming Corporation, together with its subsidiaries, operates as a multi-jurisdictional gaming company. It operates through three segments: Las Vegas Locals, Downtown Las Vegas, and Midwest and South."
NKTR,Nektar Therapeutics,"Nektar Therapeutics develops drug candidates based on its PEGylation and polymer conjugate technology platforms in the United States. Its product pipeline includes drug candidates in therapeutic areas comprising cancer, auto-immune disease, and"
NYNY,Empire Resorts Inc,"Empire Resorts, Inc., through its subsidiaries, engages in the hospitality and gaming businesses in New York."
MCRI,Monarch Casino & Resort Inc,"Monarch Casino & Resort, Inc., through its subsidiaries, owns and operates the Atlantis Casino Resort Spa, a hotel/casino facility in Reno, Nevada; and the Monarch Casino Black Hawk in Black Hawk, Colorado."
CASH,Meta Financial Group Inc,"Meta Financial Group, Inc. operates as the holding company for MetaBank that offers various banking products and services to individuals, small businesses, financial institutions, and other businesses."
ABIO,ARCA biopharma Inc,"ARCA biopharma, Inc., a biopharmaceutical company, focuses on developing genetically-targeted therapies for cardiovascular diseases."
BWA,BorgWarner Inc,"BorgWarner Inc. provides solutions for combustion, hybrid, and electric vehicles worldwide. The company operates through two segments, Engine and Drivetrain."
WINA,Winmark Corp,"Winmark Corporation operates as a franchisor of 5 retail store concepts that buy, sell, trade, and consign merchandise primarily in the United States and Canada. The company operates through two segments, Franchising and Leasing."
SIRI,Sirius XM Holdings Inc,Sirius XM Holdings Inc. provides satellite radio services in the United States.
DHIL,Diamond Hill Investment Group Inc,"Diamond Hill Investment Group, Inc., together with its subsidiaries, provides investment advisory and fund administration services in the United States."
TCX,Tucows Inc,"Tucows Inc. provides network access, domain name registration, email, mobile telephony, and other Internet services in the United States, Canada, and Germany. It operates in two segments, Network Access Services and Domain Services."
TLF,Tandy Leather Factory Inc,"Tandy Leather Factory, Inc. operates as a retailer and wholesale distributor of a range of leather and related products. It operates through three segments: Wholesale Leathercraft, Retail Leathercraft, and International Leathercraft."
UTEK,Ultratech Inc,"Ultratech, Inc. develops, manufactures, and markets photolithography, laser thermal processing, and inspection equipment. It supplies step-and-repeat photolithography systems based on one-to-one imaging technology for semiconductor device and n"
COST,Costco Wholesale Corp,"Costco Wholesale Corporation, together with its subsidiaries, operates membership warehouses. It offers branded and private-label products in a range of merchandise categories."
NYCB,New York Community Bancorp Inc.,"New York Community Bancorp, Inc. operates as a holding company for New York Community Bank and New York Commercial Bank that offer banking products and financial services in Metro New York, New Jersey, Ohio, Florida, and Arizona."
AF,Astoria Financial Corp,Astoria Financial Corporation operates as the holding company for Astoria Bank that provides various financial products and services to individuals and businesses.
MED,Medifast Inc.,"Medifast, Inc., through its subsidiaries, produces, distributes, and sells weight loss, weight management, healthy living products, and other consumable health and diet products."
HAIN,Hain Celestial Group Inc (The),"The Hain Celestial Group, Inc. manufactures, markets, distributes, and sells organic and natural products."
DECK,Deckers Outdoor Corp,"Deckers Outdoor Corporation, together with its subsidiaries, designs, markets, and distributes footwear, apparel, and accessories for casual lifestyle use and high performance activities."
DDD,3D Systems Corp,"3D Systems Corporation, through its subsidiaries, provides 3D printing products and services worldwide."
WVFC,WVS Financial Corp.,WVS Financial Corp. operates as the bank holding company for West View Savings Bank that provides various banking products and services to residents and businesses.
MINI,Mobile Mini Inc,"Mobile Mini, Inc. provides portable storage and specialty containment solutions."
CNTY,Century Casinos Inc,"Century Casinos, Inc. operates as a casino entertainment company worldwide. The company develops and operates gaming establishments, as well as related lodging, restaurant, horse racing, and entertainment facilities."
CWST,Casella Waste Systems Inc,"Casella Waste Systems, Inc., together with its subsidiaries, operates as a vertically-integrated solid waste services company in the northeastern United States. The company operates through Eastern Region, Western Region, Recycling, and Other s"
PTN,Palatin Technologies Inc.,"Palatin Technologies, Inc., a biopharmaceutical company, develops targeted, receptor-specific peptide therapeutics for the treatment of various diseases in the United States."
VIAV,Viavi Solutions Inc,"Viavi Solutions Inc. provides network test, monitoring, and assurance solutions to communications service providers, and enterprises and their ecosystems worldwide. The company operates through Network Enablement, Service Enablement, and Optica"
GES,Guess ? Inc.,"Guess , Inc. designs, markets, distributes, and licenses lifestyle collections of contemporary apparel and accessories for men, women, and children that reflect the American lifestyle and European fashion sensibilities."
ROCK,Gibraltar Industries Inc,"Gibraltar Industries, Inc. manufactures and distributes building products in North America, Europe, and Asia. It operates through three segments: Residential Products, Industrial and Infrastructure Products, and Renewable Energy and Conservatio"
SCHN,Schnitzer Steel Industries Inc,"Schnitzer Steel Industries, Inc. recycles ferrous and nonferrous scrap metals; and manufactures finished steel products worldwide. It operates through two segments, Auto and Metals Recycling (AMR); and Cascade Steel and Scrap (CSS)."
URBN,Urban Outfitters Inc,"Urban Outfitters, Inc. engages in the retail and wholesale of general consumer products. It operates through two segments, Retail and Wholesale."
FWRD,Forward Air Corp,"Forward Air Corporation, together with its subsidiaries, operates as an asset-light freight and logistics company in the United State and Canada. The company operates through four segments: Expedited LTL, Truckload Premium Services (TLS), Inter"
NFX,Newfield Exploration Co,"Newfield Exploration Company, an independent energy company, engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States."
SBGI,Sinclair Broadcast Group Inc,"Sinclair Broadcast Group, Inc. operates as a television broadcasting company in the United States. It owns or provides various programming, operating, or sales services to television stations."
UFPI,Universal Forest Products Inc,"Universal Forest Products, Inc., through its subsidiaries, designs, manufactures, and markets wood and wood-alternative products for home centers and other retailers."
WMAR,West Marine Inc,"West Marine, Inc. operates as a specialty retailer of boating supplies, gear, apparel, footwear, and other water life-related products primarily in the United States."
BDC,Belden Inc,"Belden Inc. designs, manufactures, and markets signal transmission solutions worldwide."
EXAC,Exactech Inc,"Exactech, Inc. develops, manufactures, markets, distributes, and sells orthopedic implant devices, related surgical instrumentation, and biologic services."
SHOO,Steven Madden Ltd,"Steven Madden, Ltd. designs, sources, markets, and sells fashion-forward name brand and private label footwear for women, men, and children worldwide."
CFFI,C&F Financial Corp,"C&F Financial Corporation operates as a holding company for Citizens and Farmers Bank that provides banking services to individuals and businesses. The company operates through three segments: Retail Banking, Mortgage Banking, and Consumer Fina"
INTL,INTL FCStone Inc,"INTL FCStone Inc. operates as a financial services company worldwide. The company's Commercial Hedging segment offers risk management consulting services related to agricultural and energy commodities, and base metal products listed on the Lond"
PLT,Plantronics Inc.,"Plantronics, Inc. designs, manufactures, and markets lightweight communications headsets, telephone headset systems, other communication endpoints, and accessories for the business and consumer markets under the Plantronics brand worldwide."
MBRG,Middleburg Financial Corp,"Middleburg Financial Corporation operates as a bank holding company for Middleburg Bank that provides various banking products and services for individuals and small businesses. It operates through Commercial and Retail Banking, Wealth Manageme"
PRKR,ParkerVision Inc,"ParkerVision, Inc. designs, develops, and markets proprietary radio frequency (RF) technologies for use in wireless communication products in the United States."
UFPT,UFP Technologies Inc,"UFP Technologies, Inc. designs and converts foams, plastics, composites, and natural fiber materials and provides solutions to medical, automotive, consumer, electronics, industrial, aerospace, and defense markets in the United States."
OKSB,Southwest Bancorp Inc,"As of October 19, 2017, Southwest Bancorp, Inc. was acquired by Simmons First National Corporation. Southwest Bancorp, Inc. operates as the holding company for the Bank SNB that provides commercial and retail financial services."
NBIX,Neurocrine Biosciences Inc,"Neurocrine Biosciences, Inc. discovers and develops pharmaceuticals for the treatment of neurological and endocrine-related diseases and disorders in the United States and internationally."
MLNK,ModusLink Global Solutions Inc,"ModusLink Global Solutions, Inc., through its subsidiaries, provides supply chain and logistics services to the consumer electronics, communications, computing, medical devices, software, storage, retail, and other industries."
SGMA,SigmaTron International Inc,"SigmaTron International, Inc. operates as an independent provider of electronic manufacturing services (EMS). Its EMS services include production of printed circuit board assemblies and completely assembled (box-build) electronic products."
EMN,Eastman Chemical Co,"Eastman Chemical Company manufactures and sells materials, specialty additives, chemicals, and fibers in the United States and internationally."
DSPG,DSP Group Inc,"DSP Group, Inc., a fabless semiconductor company, provides wireless and audio chipset solutions for converged communications worldwide. It operates through three segments: Home, Office, and Mobile."
DAKT,Daktronics Inc,"Daktronics, Inc. designs, manufactures, and sells a range of electronic display systems and related products worldwide. It operates through five segments: Commercial, Live Events, High School Park and Recreation, Transportation, and Internation"
BZH,Beazer Homes USA Inc.,"Beazer Homes USA, Inc. operates as a homebuilder in the United States. The company designs, constructs, and sells single-family and multi-family homes for entry-level, move-up, or retirement-oriented home buyers under the Beazer Homes brand nam"
ALB,Albemarle Corp,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide."
MLM,Martin Marietta Materials Inc.,"Martin Marietta Materials, Inc., together with its subsidiaries, supplies aggregates products and heavy building materials for the construction industry in the United States and internationally."
TSCO,Tractor Supply Co,Tractor Supply Company operates rural lifestyle retail stores in the United States.
CPN,Calpine Corp,"Calpine Corporation, a wholesale power generation company, owns and operates natural gas-fired and geothermal power plants in North America. It operates natural gas-fired combustion turbines and renewable geothermal conventional steam turbines."
ARTX,Arotech Corp,Arotech Corporation provides defense and security products worldwide.
DAR,Darling Ingredients Inc,"Darling Ingredients Inc. develops, produces, and sells natural ingredients from edible and inedible bio-nutrients worldwide. It operates in three segments: Feed Ingredients, Food Ingredients, and Fuel Ingredients."
SMBC,Southern Missouri Bancorp Inc,"Southern Missouri Bancorp, Inc. operates as the bank holding company for Southern Bank that provides banking and financial services to individuals and corporate customers in the United States."
XPL,Solitario Zinc Corp,"Solitario Zinc Corp., an exploration and royalty company, engages in the acquisition, exploration, and development of precious and base metal properties in Peru, Brazil, and Mexico. The company primarily explores for gold, silver, platinum, pal"
RMBS,Rambus Inc,Rambus Inc. manufactures and sells semiconductor products in South Korea and internationally.
ZEUS,Olympic Steel Inc,"Olympic Steel, Inc. processes and distributes metal products in the United States and internationally. It operates in three segments: Carbon Flat Products; Specialty Metals Flat Products; and Tubular and Pipe Products."
FARO,FARO Technologies Inc,FARO Technologies Inc.
IART,Integra LifeSciences Holdings Corp,"Integra LifeSciences Holdings Corporation develops, manufactures, and markets surgical implants and medical instruments for use in neurosurgery, extremity reconstruction, orthopedics, and general surgery."
RVLT,Revolution Lighting Technologies Inc,"Revolution Lighting Technologies, Inc. designs, manufactures, markets, and sells light emitting diode (LED) lighting solutions focusing on the industrial, commercial, and government markets in the United States, Canada, and internationally."
AKS,AK Steel Holding Corp,"AK Steel Holding Corporation, through its subsidiary, AK Steel Corporation, produces flat-rolled carbon, stainless, and electrical steels and tubular products in the United States and internationally."
MPAA,Motorcar Parts of America Inc,"Motorcar Parts of America, Inc. manufactures, remanufactures, and distributes automotive aftermarket parts."
NNBR,NN Inc,"NN, Inc., a diversified industrial company, manufactures high precision bearing components, industrial plastic products, and precision metal components to various markets in North America, Western Europe, Eastern Europe, South America, and Chin"
GPIC,Gaming Partners International Corp,"Gaming Partners International Corporation, together with its subsidiaries, manufactures and supplies casino table game equipment in the Americas, the Asia-Pacific, Europe, and Africa."
SCSC,ScanSource Inc,"ScanSource, Inc. distributes technology products and solutions in North America, Latin America, and Europe."
AEO,American Eagle Outfitters Inc.,"American Eagle Outfitters, Inc. operates as a specialty retailer offering on-trend clothing, accessories, and personal care products under the American Eagle Outfitters and Aerie brands."
DVCR,Diversicare Healthcare Services Inc,"Diversicare Healthcare Services, Inc., together with its subsidiaries, provides post-acute care services to skilled nursing center, patients, and residents primarily in the Southeast, Midwest, and Southwest United States."
HTLF,Heartland Financial USA Inc,"Heartland Financial USA, Inc., a multi-bank holding company, provides commercial and consumer banking services to individuals and businesses in the United States."
LH,Laboratory Corporation of America Holdings,"Laboratory Corporation of America Holdings operates as an independent clinical laboratory company worldwide. It operates through two segments, LabCorp Diagnostics and Covance Drug Development."
CVO,Cenveo Inc.,"Cenveo, Inc. provides print related products in the United States and internationally. It operates through three segments: Envelope, Print, and Label."
SSD,Simpson Manufacturing Co. Inc.,"Simpson Manufacturing Co., Inc., through its subsidiaries, designs, engineers, manufactures, and sells building construction products."
UNTY,Unity Bancorp Inc,"Unity Bancorp Inc. operates as a bank holding company for Unity Bank that provides a range of business and consumer financial services to individuals, small and medium sized businesses, and professional communities."
BVSN,Broadvision Inc,"BroadVision, Inc. develops, markets, and supports enterprise portal applications that enable companies to unify their e-business infrastructure and conduct interactions and transactions with employees, partners, and customers through a personal"
LJPC,La Jolla Pharmaceutical Company,"La Jolla Pharmaceutical Company, a biopharmaceutical company, focuses on the discovery, development, and commercialization of therapeutics for life-threatening diseases."
LEN,Lennar Corp,"Lennar Corporation, together with its subsidiaries, engages in the homebuilding activities in the United States. The company operates through Homebuilding East, Homebuilding Central, Homebuilding West, Lennar Financial Services, Rialto, and Len"
APHB,Ampliphi Biosciences Corp,"AmpliPhi Biosciences Corporation, a biotechnology company, focuses on the development of therapies for antibiotic-resistant infections using bacteriophage-based technology."
HMNF,HMN Financial Inc,"HMN Financial, Inc. operates as the holding company for Home Federal Savings Bank that provides community banking products and services."
HEOP,Heritage Oaks Bancorp,"As of April 1, 2017, Heritage Oaks Bancorp was acquired by Pacific Premier Bancorp, Inc. Heritage Oaks Bancorp operates as the holding company for Heritage Oaks Bank that provides community banking products and services to small and medium size"
RBCAA,Republic Bancorp Inc,"Republic Bancorp, Inc., a financial holding company, provides banking products and services in the United States. It operates in four segments: Traditional Banking, Warehouse Lending, Mortgage Banking, and Republic Processing Group."
PENN,Penn National Gaming Inc,"Penn National Gaming, Inc. owns and manages gaming and racing facilities, and operates video gaming terminals with a focus on slot machine entertainment. The company operates through Northeast, South/West, and Midwest segments."
PPL,PPL Corp,"PPL Corporation, a utility company, delivers electricity and natural gas in the United States and the United Kingdom. The company operates in three segments: U.K. Regulated, Kentucky Regulated, and Pennsylvania Regulated."
RBPAA,Royal Bancshares of Pennsylvania Inc,"As of December 15, 2017, Royal Bancshares of Pennsylvania, Inc. was acquired by Bryn Mawr Bank Corporation. Royal Bancshares of Pennsylvania, Inc."
FALC,FalconStor Software Inc,"FalconStor Software, Inc. develops, manufactures, and sells data migration, business continuity, disaster recovery, optimized backup, and de-duplication solutions worldwide."
SMIT,Schmitt Industries Inc,"Schmitt Industries, Inc., together with its subsidiaries, designs, manufactures, and sells test and measurement products worldwide. The company's Balancer segment offers computer-controlled vibration detection, balancing, and process control sy"
ERIE,Erie Indemnity Company,"Erie Indemnity Company operates as a managing attorney-in-fact for the subscribers at the Erie Insurance Exchange in the United States. The company provides sales, underwriting, and policy issuance services for the policyholders on behalf of th"
GBX,Greenbrier Companies Inc. (The),"The Greenbrier Companies, Inc. designs, manufactures, and markets railroad freight car equipment in North America and Europe."
FFIC,Flushing Financial Corp,"Flushing Financial Corporation operates as the bank holding company for Flushing Bank that provides banking products and services primarily to consumers, businesses, and governmental units."
EFOI,Energy Focus Inc,"Energy Focus, Inc., together with its subsidiaries, designs, develops, manufactures, markets, and sells energy-efficient lighting systems in the United States and internationally."
LRAD,LRAD Corp,"LRAD Corporation designs, develops, and commercializes directed sound technologies and products in North and South America, Europe, the Middle East, Africa, and Asia. It develops directed acoustic communication systems that focus sound over sho"
SRDX,Surmodics Inc,"Surmodics, Inc., together with its subsidiaries, provides medical devices and in vitro diagnostic technologies to the healthcare industry in the United States and Ireland. It operates through two segments, Medical Device and In Vitro Diagnostic"
MLR,Miller Industries Inc/TN,"Miller Industries, Inc., together with its subsidiaries, engages in the manufacture and sale of towing and recovery equipment."
HDSN,Hudson Technologies Inc,Hudson Technologies Inc. operates as a refrigerant services company in the United States and internationally.
ADTN,ADTRAN Inc,"ADTRAN, Inc. provides networking and communications equipment worldwide. The company operates through two segments, Network Solutions and Services & Support."
OMCL,Omnicell Inc,"Omnicell, Inc. provides automation and business analytics software solutions for medication and supply management in healthcare worldwide. The company operates through two segments, Automation and Analytics, and Medication Adherence."
MIND,Mitcham Industries Inc,"Mitcham Industries, Inc., through its subsidiaries, leases, sells, and services equipment to the geophysical, oceanographic, and hydrographic industries worldwide. The company operates in two segments, Equipment Leasing, and Equipment Manufactu"
AEIS,Advanced Energy Industries Inc.,"Advanced Energy Industries, Inc., together with its subsidiaries, designs, manufactures, sells, and supports power conversion and control products that transform power into various usable forms."
DVA,DaVita Inc,"DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure or end stage renal disease (ESRD). It operates through two divisions, DaVita Kidney Care and DaVita Medical Group."
TESS,TESSCO Technologies Inc,TESSCO Technologies Incorporated architects and delivers products and value chain solutions to support wireless systems in the United States.
COF,Capital One Financial Corp.,"Capital One Financial Corporation operates as the bank holding company for the Capital One Bank (USA), National Association; and Capital One, National Association, which provides various financial products and services in the United States, the"
MCK,McKesson Corp,"McKesson Corporation provides pharmaceuticals and medical supplies in the United States and internationally. The company operates in two segments, McKesson Distribution Solutions and McKesson Technology Solutions."
CPE,Callon Petroleum Co/DE,"Callon Petroleum Company Inc., an independent oil and natural gas company, acquires, explores for, develops, and produces oil and natural gas properties in the Permian Basin in West Texas. As of December 31, 2016, its estimated net proved reser"
FTK,Flotek Industries Inc,"Flotek Industries, Inc. develops and supplies chemistry and services to the oil and gas industries in the United States and internationally. It operates through two segments, Energy Chemistry Technologies and Consumer and Industrial Chemistry T"
DIT,AMCON Distributing Co,"AMCON Distributing Company, together with its subsidiaries, engages in the wholesale distribution of consumer products in the Central, Rocky Mountain, and Southern regions of the United States. It operates through two segments, Wholesale Distri"
CVTI,Covenant Transportation Group Inc,"Covenant Transportation Group, Inc., together with its subsidiaries, provides truckload transportation and brokerage services primarily in the continental United States."
WCC,WESCO International Inc,"WESCO International, Inc. distributes electrical, industrial, and communication maintenance, repair, and operating (MRO) products; and original equipment manufacturers products and construction materials in North America and internationally."
KNX,Knight-Swift Transportation Holdings Inc,"Knight-Swift Transportation Holdings Inc., together with its subsidiaries, provides truckload transportation and logistics services in the United States, Canada, and Mexico. It operates through two segments, Trucking and Logistics."
APOL,Apollo Education Group Inc,"Apollo Education Group, Inc. provides private education services in the United States and internationally. The company offers online and on-campus undergraduate, graduate, certificate, and non-degree educational programs and services to unemplo"
KFRC,Kforce Inc,"Kforce Inc. provides professional and technical specialty staffing services and solutions in the United States and internationally. It operates through three segments: Technology (Tech), Finance and Accounting (FA), and Government Solutions (GS"
PII,Polaris Industries Inc,"Polaris Industries Inc. designs, engineers, manufactures, and markets power sports vehicles worldwide. It operates through four segments: Off-Road Vehicles (ORVs)/Snowmobiles, Motorcycles, Global Adjacent Markets, and Other."
CLRX,CollabRx Inc,"As of November 2, 2015, CollabRx, Inc. was acquired by Medytox Solutions, Inc., in a reverse merger transaction. CollabRx, Inc. provides cloud-based expert systems to inform healthcare decision-making in the United States and internationally."
RNVA,Rennova Health Inc,"Rennova Health, Inc., together with its subsidiaries, provides a suite of healthcare related products and services to healthcare providers in the United States."
DF,Dean Foods Co,"Dean Foods Company, a food and beverage company, processes and distributes milk, and other dairy and dairy case products in the United States."
USAP,Universal Stainless & Alloy Products Inc,"Universal Stainless & Alloy Products, Inc., together with its subsidiaries, manufactures and markets semi-finished and finished specialty steel products in the United States and internationally."
SWC,Stillwater Mining Co,"Stillwater Mining Company engages in the development, extraction, processing, smelting, and refining of platinum group metals (PGMs). It operates through Mine Production, PGM Recycling, Canadian Properties, and South American Properties segment"
NSIT,Insight Enterprises Inc,"Insight Enterprises, Inc. provides information technology (IT) hardware, software, cloud, and service solutions for business, government, healthcare, and educational clients in the United States, Canada, Europe, the Middle East, Africa, and the"
FCCO,First Community Corp,"First Community Corporation operates as the bank holding company for First Community Bank which offers various commercial and retail banking products and services to small-to-medium sized businesses, professional concerns, and individuals."
STRT,Strattec Security Corp,"Strattec Security Corporation engages in the design, development, manufacture, and marketing of automotive access control products under the VAST brand primarily in the United States."
RCII,Rent-A-Center Inc,"Rent-A-Center, Inc., together with its subsidiaries, leases household durable goods to customers on a rent-to-own basis. The company operates through four segments: Core U.S., Acceptance Now, Mexico, and Franchising."
IBKC,IBERIABANK Corp,IBERIABANK Corporation operates as the bank holding company for IBERIABANK that provides commercial and retail banking products and services in the United States.
ENG,ENGlobal Corp,"ENGlobal Corporation provides engineering and professional services primarily to the energy industry in the United States and internationally. It operates in two segments, Engineering, Procurement and Construction Management; and Automation."
BRKS,Brooks Automation Inc,"Brooks Automation, Inc. provides automation and cryogenic solutions for various applications and markets. It operates in two segments, Brooks Semiconductor Solutions Group and Brooks Life Science Systems."
GNVC,GenVec Inc,"GenVec, Inc., a clinical-stage biopharmaceutical company, focuses on developing a pipeline of therapeutics and vaccines through its proprietary AdenoVerse gene delivery platform in the United States. It designs, tests, and manufactures adenovir"
ACTG,Acacia Research Corp,"Acacia Research Corporation, through its subsidiaries, invests in, develops, licenses, and enforces patented technologies in the United States."
TRK,Speedway Motorsports Inc,"Speedway Motorsports, Inc., through its subsidiaries, promotes, markets, and sponsors motorsports activities in the United States."
ACIW,ACI Worldwide Inc,"ACI Worldwide, Inc., together with its subsidiaries, develops, markets, installs, and supports software products and services for facilitating electronic payments to financial institutions and intermediaries, merchants, and billers worldwide."
RICK,RCI Hospitality Holdings Inc,"RCI Hospitality Holdings, Inc., through its subsidiaries, engages in the hospitality and related businesses in the United States. It operates in two segments, Nightclubs and Bombshells Restaurants/Sports Bars."
NATI,National Instruments Corp,"National Instruments Corporation designs, manufactures, and sells systems to engineers and scientists worldwide."
DLTR,Dollar Tree Inc,"Dollar Tree, Inc. operates variety retail stores in the United States and Canada. It operates in two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00."
DTE,DTE Energy Co,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michiga"
CIEN,Ciena Corp,"Ciena Corporation provides hardware, software, and services that support the transport, switching, aggregation, service delivery, and management of voice, video, and data traffic on communications networks worldwide."
LMT,Lockheed Martin Corp,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide."
WAFD,Washington Federal Inc.,"Washington Federal, Inc."
MASI,Masimo Corp,"Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive monitoring technologies worldwide."
PCMI,PCM Inc,"PCM, Inc., through its subsidiaries, operates as a multi-vendor provider of technology products and solutions primarily in the United States and Canada. The company operates through three segments: Commercial, Public Sector, and Canada."
EXEL,Exelixis Inc,"Exelixis, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of new medicines with the potential to enhance care and outcomes for people with cancer."
